"Date","Price","Open","High","Low","Change %"
"Jan 25, 2011","11.184","11.184","11.184","11.184","-1.31%"
"Jan 19, 2011","11.332","11.332","11.332","11.332","0.45%"
"Jan 18, 2011","11.281","11.281","11.281","11.281","-0.44%"
"Jan 17, 2011","11.331","11.331","11.331","11.331","-0.03%"
"Jan 14, 2011","11.334","11.334","11.334","11.334","1.02%"
"Jan 13, 2011","11.220","11.220","11.220","11.220","-0.16%"
"Jan 12, 2011","11.238","11.238","11.238","11.238","-0.28%"
"Jan 11, 2011","11.270","11.270","11.270","11.270","-0.59%"
"Jan 07, 2011","11.337","11.337","11.337","11.337","0.01%"
"Jan 06, 2011","11.336","11.336","11.336","11.336","0.89%"
"Jan 05, 2011","11.236","11.236","11.236","11.236","-0.01%"
"Jan 04, 2011","11.237","11.237","11.237","11.237","-1.59%"
"Dec 28, 2010","11.419","11.419","11.419","11.419","0.55%"
"Dec 27, 2010","11.357","11.357","11.357","11.357","0.66%"
"Dec 24, 2010","11.283","11.283","11.283","11.283","-0.44%"
"Dec 22, 2010","11.333","11.333","11.333","11.333","-0.02%"
"Dec 21, 2010","11.335","11.335","11.335","11.335","1.30%"
"Dec 20, 2010","11.189","11.189","11.189","11.189","-1.72%"
"Dec 17, 2010","11.385","11.385","11.385","11.385","0.65%"
"Dec 16, 2010","11.312","11.312","11.312","11.312","0.14%"
"Dec 15, 2010","11.296","11.296","11.296","11.296","-0.59%"
"Dec 14, 2010","11.363","11.363","11.363","11.363","-0.61%"
"Dec 13, 2010","11.433","11.433","11.433","11.433","-0.01%"
"Dec 10, 2010","11.434","11.434","11.434","11.434","0.60%"
"Dec 09, 2010","11.366","11.366","11.366","11.366","0.00%"
"Dec 08, 2010","11.366","11.366","11.366","11.366","0.72%"
"Dec 07, 2010","11.285","11.285","11.285","11.285","-0.37%"
"Dec 06, 2010","11.327","11.327","11.327","11.327","0.54%"
"Dec 03, 2010","11.266","11.266","11.266","11.266","-1.06%"
"Dec 02, 2010","11.387","11.387","11.387","11.387","0.61%"
"Dec 01, 2010","11.318","11.318","11.318","11.318","-0.75%"
"Nov 30, 2010","11.404","11.404","11.404","11.404","0.63%"
"Nov 29, 2010","11.333","11.333","11.333","11.333","0.17%"
"Nov 26, 2010","11.314","11.314","11.314","11.314","0.35%"
"Nov 25, 2010","11.274","11.274","11.274","11.274","0.38%"
"Nov 24, 2010","11.231","11.231","11.231","11.231","-0.37%"
"Nov 19, 2010","11.273","11.273","11.273","11.273","-0.32%"
"Nov 18, 2010","11.309","11.309","11.309","11.309","0.48%"
"Nov 17, 2010","11.255","11.255","11.255","11.255","0.00%"
"Nov 16, 2010","11.255","11.255","11.255","11.255","0.08%"
"Nov 15, 2010","11.246","11.246","11.246","11.246","-0.01%"
"Nov 12, 2010","11.247","11.247","11.247","11.247","-0.08%"
"Nov 10, 2010","11.256","11.256","11.256","11.256","2.44%"
"Nov 09, 2010","10.988","10.988","10.988","10.988","-0.46%"
"Nov 08, 2010","11.039","11.039","11.039","11.039","0.06%"
"Nov 05, 2010","11.032","11.032","11.032","11.032","0.01%"
"Nov 04, 2010","11.031","11.031","11.031","11.031","0.51%"
"Nov 01, 2010","10.975","10.975","10.975","10.975","-0.38%"
"Oct 29, 2010","11.017","11.017","11.017","11.017","0.00%"
"Oct 28, 2010","11.017","11.017","11.017","11.017","-0.46%"
"Oct 27, 2010","11.068","11.068","11.068","11.068","0.37%"
"Oct 26, 2010","11.027","11.027","11.027","11.027","0.00%"
"Oct 25, 2010","11.027","11.027","11.027","11.027","0.51%"
"Oct 22, 2010","10.971","10.971","10.971","10.971","-0.35%"
"Oct 21, 2010","11.009","11.009","11.009","11.009","0.35%"
"Oct 20, 2010","10.971","10.971","10.971","10.971","-0.59%"
"Oct 19, 2010","11.036","11.036","11.036","11.036","0.40%"
"Oct 15, 2010","10.992","10.992","10.992","10.992","-0.48%"
"Oct 14, 2010","11.045","11.045","11.045","11.045","-0.21%"
"Oct 13, 2010","11.068","11.068","11.068","11.068","0.52%"
"Oct 12, 2010","11.011","11.011","11.011","11.011","0.43%"
"Oct 08, 2010","10.964","10.964","10.964","10.964","-0.35%"
"Oct 07, 2010","11.003","11.003","11.003","11.003","0.00%"
"Oct 06, 2010","11.003","11.003","11.003","11.003","-0.30%"
"Oct 05, 2010","11.036","11.036","11.036","11.036","0.00%"
"Oct 04, 2010","11.036","11.036","11.036","11.036","-0.17%"
"Oct 01, 2010","11.055","11.055","11.055","11.055","-0.03%"
"Sep 30, 2010","11.058","11.058","11.058","11.058","0.62%"
"Sep 29, 2010","10.990","10.990","10.990","10.990","-0.05%"
"Sep 28, 2010","10.995","10.995","10.995","10.995","-0.28%"
"Sep 27, 2010","11.026","11.026","11.026","11.026","0.00%"
"Sep 24, 2010","11.026","11.026","11.026","11.026","0.38%"
"Sep 22, 2010","10.984","10.984","10.984","10.984","-0.01%"
"Sep 21, 2010","10.985","10.985","10.985","10.985","-0.24%"
"Sep 20, 2010","11.011","11.011","11.011","11.011","0.00%"
"Sep 17, 2010","11.011","11.011","11.011","11.011","0.01%"
"Sep 16, 2010","11.010","11.010","11.010","11.010","-0.04%"
"Sep 15, 2010","11.014","11.014","11.014","11.014","0.19%"
"Sep 14, 2010","10.993","10.993","10.993","10.993","0.00%"
